id,task,job_role,complexity,task_type,creativity,human_interaction,time_taken,frequency,skill_level,Associated_Skills,Tools,Technologies,Job_Description,Automation_Risk,Tasks,Mapped_Skills,Creativity_Required,Risk_Label
120,Design wireframes and prototypes,DevOps Engineer,Low,Technical,Moderate,High,Full-day,Daily,Intermediate,"JavaScript, React, Docker",Jira,"Cloud Computing, DevOps","As a DevOps Engineer, your responsibilities include Design wireframes and prototypes. You'll utilize skills such as JavaScript, React, Docker and work with tools like Jira. This role often involves technologies like Cloud Computing, DevOps.",Medium Risk,"['as a devops engineer your responsibilities include design wireframes and prototypes', 'youll utilize skills such as javascript react docker and work with tools like jira', 'this role often involves technologies like cloud computing devops']","['technical skills', 'teamwork', 'other']",True,1
121,Analyze and clean data,UI/UX Designer,Low,Technical,Moderate,Low,Full-day,Monthly,Beginner,"JavaScript, Docker, React, Node.js",Postman,"AI, Cloud Computing","As a UI/UX Designer, your responsibilities include Analyze and clean data. You'll utilize skills such as JavaScript, Docker, React, Node.js and work with tools like Postman. This role often involves technologies like AI, Cloud Computing.",Medium Risk,"['as a uiux designer your responsibilities include analyze and clean data', 'youll utilize skills such as javascript docker react node', 'js and work with tools like postman', 'this role often involves technologies like ai cloud computing']","['problem-solving, technical skills', 'other', 'teamwork', 'other']",True,1
122,Perform code reviews,Data Scientist,Low,Managerial,High,High,1-3 hours,Monthly,Beginner,"TensorFlow, Docker, Python, Agile, SQL",MongoDB,"Web Development, Cloud Computing, DevOps","As a Data Scientist, your responsibilities include Perform code reviews. You'll utilize skills such as TensorFlow, Docker, Python, Agile, SQL and work with tools like MongoDB. This role often involves technologies like Web Development, Cloud Computing, DevOps.",Low Risk,"['as a data scientist your responsibilities include perform code reviews', 'youll utilize skills such as tensorflow docker python agile sql and work with tools like mongodb', 'this role often involves technologies like web development cloud computing devops']","['technical skills', 'teamwork', 'technical skills']",False,0
123,Write and debug code,Software Engineer,Low,Technical,High,,Half-day,Occasionally,Beginner,"Git, JavaScript, Python, Node.js",MongoDB,"Web Development, DevOps, AI","As a Software Engineer, your responsibilities include Write and debug code. You'll utilize skills such as Git, JavaScript, Python, Node.js and work with tools like MongoDB. This role often involves technologies like Web Development, DevOps, AI.",Medium Risk,"['as a software engineer your responsibilities include write and debug code', 'youll utilize skills such as git javascript python node', 'js and work with tools like mongodb', 'this role often involves technologies like web development devops ai']","['problem-solving, technical skills', 'other', 'teamwork', 'technical skills']",False,1
124,Write and debug code,QA Engineer,Low,Creative,Moderate,High,Half-day,Daily,Intermediate,"TensorFlow, JavaScript, Agile, SQL",Postman,Big Data,"As a QA Engineer, your responsibilities include Write and debug code. You'll utilize skills such as TensorFlow, JavaScript, Agile, SQL and work with tools like Postman. This role often involves technologies like Big Data.",Medium Risk,"['as a qa engineer your responsibilities include write and debug code', 'youll utilize skills such as tensorflow javascript agile sql and work with tools like postman', 'this role often involves technologies like big data']","['problem-solving, technical skills', 'teamwork', 'other']",False,1
125,Perform code reviews,Machine Learning Engineer,Low,Managerial,Moderate,Moderate,<1 hour,Occasionally,Intermediate,"Node.js, SQL, JavaScript","MongoDB, AWS, Jira","Web Development, Big Data, Cloud Computing","As a Machine Learning Engineer, your responsibilities include Perform code reviews. You'll utilize skills such as Node.js, SQL, JavaScript and work with tools like MongoDB, AWS, Jira. This role often involves technologies like Web Development, Big Data, Cloud Computing.",Medium Risk,"['as a machine learning engineer your responsibilities include perform code reviews', 'youll utilize skills such as node', 'js sql javascript and work with tools like mongodb aws jira', 'this role often involves technologies like web development big data cloud computing']","['technical skills', 'other', 'teamwork', 'technical skills']",False,1
126,Write and execute test cases,Full Stack Developer,Medium,Creative,Low,High,1-3 hours,Occasionally,Beginner,"JavaScript, Docker, React","Tableau, AWS","DevOps, Cloud Computing, Web Development","As a Full Stack Developer, your responsibilities include Write and execute test cases. You'll utilize skills such as JavaScript, Docker, React and work with tools like Tableau, AWS. This role often involves technologies like DevOps, Cloud Computing, Web Development.",Medium Risk,"['as a full stack developer your responsibilities include write and execute test cases', 'youll utilize skills such as javascript docker react and work with tools like tableau aws', 'this role often involves technologies like devops cloud computing web development']","['technical skills', 'teamwork', 'technical skills']",False,1
127,Conduct user research,Software Engineer,High,Technical,Low,Moderate,<1 hour,Weekly,Advanced,"TensorFlow, Agile","Slack, Jira","DevOps, AI","As a Software Engineer, your responsibilities include Conduct user research. You'll utilize skills such as TensorFlow, Agile and work with tools like Slack, Jira. This role often involves technologies like DevOps, AI.",Medium Risk,"['as a software engineer your responsibilities include conduct user research', 'youll utilize skills such as tensorflow agile and work with tools like slack jira', 'this role often involves technologies like devops ai']","['other', 'teamwork', 'other']",False,1
128,Design wireframes and prototypes,Frontend Developer,Low,Managerial,Low,Low,<1 hour,Daily,Intermediate,"React, Git, Node.js, Python, Agile",Postman,DevOps,"As a Frontend Developer, your responsibilities include Design wireframes and prototypes. You'll utilize skills such as React, Git, Node.js, Python, Agile and work with tools like Postman. This role often involves technologies like DevOps.",Medium Risk,"['as a frontend developer your responsibilities include design wireframes and prototypes', 'youll utilize skills such as react git node', 'js python agile and work with tools like postman', 'this role often involves technologies like devops']","['technical skills', 'other', 'teamwork', 'other']",True,1
129,Analyze and clean data,Backend Developer,Low,Creative,Moderate,,1-3 hours,Daily,Advanced,"Node.js, SQL, React, JavaScript, Docker","Slack, MongoDB, Postman","DevOps, Cloud Computing","As a Backend Developer, your responsibilities include Analyze and clean data. You'll utilize skills such as Node.js, SQL, React, JavaScript, Docker and work with tools like Slack, MongoDB, Postman. This role often involves technologies like DevOps, Cloud Computing.",Low Risk,"['as a backend developer your responsibilities include analyze and clean data', 'youll utilize skills such as node', 'js sql react javascript docker and work with tools like slack mongodb postman', 'this role often involves technologies like devops cloud computing']","['problem-solving, technical skills', 'other', 'teamwork', 'other']",False,0
130,Analyze and clean data,Machine Learning Engineer,Low,Technical,Moderate,Low,Full-day,Monthly,Advanced,"Node.js, Docker, JavaScript, Python","Slack, Postman","AI, Big Data","As a Machine Learning Engineer, your responsibilities include Analyze and clean data. You'll utilize skills such as Node.js, Docker, JavaScript, Python and work with tools like Slack, Postman. This role often involves technologies like AI, Big Data.",Medium Risk,"['as a machine learning engineer your responsibilities include analyze and clean data', 'youll utilize skills such as node', 'js docker javascript python and work with tools like slack postman', 'this role often involves technologies like ai big data']","['problem-solving', 'other', 'teamwork', 'other']",False,1
131,Design APIs,Machine Learning Engineer,High,Technical,Moderate,Moderate,Half-day,Monthly,Advanced,"React, Python, Node.js, Docker","Slack, Jira",Web Development,"As a Machine Learning Engineer, your responsibilities include Design APIs. You'll utilize skills such as React, Python, Node.js, Docker and work with tools like Slack, Jira. This role often involves technologies like Web Development.",Medium Risk,"['as a machine learning engineer your responsibilities include design apis', 'youll utilize skills such as react python node', 'js docker and work with tools like slack jira', 'this role often involves technologies like web development']","['technical skills', 'other', 'teamwork', 'technical skills']",True,1
